id,name,description,tweets,follow,stance,remark,followed_tweet,predict,followed_user_stance
1007003860408373248,Barbara Peña Solis,Detention abolitionist. Dog mom. Puro San Anto. Assoc VP of Advocacy @RAICESTEXAS @RAICESACTION She/Ella. Opinions are my own.,"['RT @RAICESTEXAS: BREAKING: #SCOTUS will hear Biden v. Texas. This case will determine if the will of millions of voters who rejected Trump’…', 'RT @DcWalaDesi: #DayWithoutImmigrants is trending at No.10 in US!🔥🔥\n#Immigration #WhiteHouse #ImmigrationReformNow #JoeBiden #ValentinesDay…']","['15811955', '479577685']",none,none,"[{'15811955': {'1': [], '2': ['Pres.-elect @JoeBiden nominated Merrick Garland as AG of @TheJusticeDept and other civil rights experts to DOJ. We look forward to working with the Biden/Harris DOJ to restore and enforce civil rights of America’s vulnerable farmworkers.\n\nOur statement: https://t.co/5kaLZjw27s https://t.co/clHZpnFA29', 'RT @FarmwrkrJustice: President-elect @JoeBiden has nominated Tom Vilsack as the next @USDA Secretary. We are hopeful Vilsack will make the…', 'RT @FarmwrkrJustice: .@MartyJWalsh has been nominated by Pres.-elect @JoeBiden as the next @USDOL Sec. We are hopeful the Biden/Harris #DOL…', '.@MartyJWalsh has been nominated by Pres.-elect @JoeBiden as the next @USDOL Sec. We are hopeful the Biden/Harris #DOL under Walsh will improve employment policies and wage-hr enforcement to help farmworkers improve the agri. labor system.\n \nOur statement: https://t.co/IeFotO62eO https://t.co/7J6mXNHLIw', ""FJ's op-ed highlights the ways #farmworkers are threatened by #pesticide exposure and calls on the @JoeBiden Administration to strengthen safeguards in the @EPA Worker Protection Standard on pesticides."", ""We’re grateful for the @JoeBiden administration's withdrawal of the regulations. FJ’s advocacy for the #HandsThatFeedUs will continue as we help farmworkers win a greater measure of fairness in our #labor and #immigration laws and in our food and #agriculture systems."", ""FJ condemns the US gov's inhumane treatment of Haitian refugees. @JoeBiden &amp; @SecMayorkas should halt deportations, punish abusive agents, allow asylum applications &amp; work to find fair solutions for Haitian immigrants. \n\nRead more here: https://t.co/EH8OQh1aZK\n\n#HandsThatFeedUs https://t.co/s4sXWHbA5v"", 'President Biden tweets his support for the #FarmWorkforceModernizationAct .  House will vote late afternoon/early eveningET. https://t.co/DkCd1HUtkl', 'President-elect @JoeBiden has nominated Tom Vilsack as the next @USDA Secretary. We are hopeful Vilsack will make the necessary strides to address #farmworkers’ concerns and needs.\n\nRead more on our statement: https://t.co/B0U5dnXKVh https://t.co/GqooJpf4Tr', 'Farmworker Justice president, @FJED, shares his perspective on how President-elect @JoeBiden can reform @USDA to address major issues affecting farmworkers and their critical role in the agriculture industry. \n\nMore from @tomphilpott via @MotherJones: https://t.co/GfNWBO278Z https://t.co/qGsbkOeU0x'], '3': []}, '479577685': {'1': [], '2': ['RT @TPS_Alliance: ""If a so-called parole status is all that can get to President Biden’s desk, then Democrats need to stop playing games wi…', 'RT @TPS_Alliance: HAPPENING NOW: TPS Families &amp; Community Faith Leaders in front of the White House for an action denouncing @joebiden, Dem…', 'RT @NDLON: ""If Pres. Biden makes a clear and unequivocal case for immigrant rights, we are confident all Democrats in the Senate will unify…', 'RT @mylangarica: 105 yrs later, the @JoeBiden admin continues to use a debunked “public health” order to expel people at the border to viol…', 'RT @TPS_Alliance: Still waiting on you @joebiden . . .  \n\n""TPS was one of these things that they could have resolved on Day One, and they d…', 'RT @ErikaAndiola: That was one minute and 42 seconds that Biden devoted to immigration. No substance. So plans. Nothing.\n\nSecure the border…'], '3': []}}]",favor,"['favor', 'against']"
1382431445063495688,TORY SLEAZE UK 🇬🇧,"Political Attack Ads, Aggregating prominent anti-Tory voices. https://t.co/7MXrn67WRP",['Ben Jennings on #BorisJohnson #JoeBiden #JimmySavile #Putin #UkraineInvasion #UkraineCrisis #UkraineKonflikt - political cartoon gallery in London https://t.co/S1KmDAG5ZC https://t.co/FcdIGCCqza https://t.co/HFdx9kbOL1 FOLLOW TO SUPPORT @torysleazeUK https://t.co/8mxUhYLYYM'],"['281814030', '228474571']",favor,none,"[{'281814030': {'1': [], '2': ['What a striking image.\n\n@JoeBiden being sworn into office, next to his son’s hospital bed. 1973.\n\nHis wife and daughter died in the same car crash that did this to his son. https://t.co/EBmlo5jg92', 'A letter from @JoeBiden to staff about the importance of family.\n\nNovember 7, 2014 https://t.co/wFqVc1XmQ8'], '3': []}, '228474571': {'1': ['@NBDabrowski @JoeBiden @VP Mazel Tov!!'], '2': ['Biden is selling his plan as a ""blue collar blueprint"" to rebuild America. The focus is on the economy, on the majority of middle America who he says may be feeling left behind in the ever changing economy.\n\nThe call for $15/hr not getting any applause from republicans.', 'Biden says he applauds the republican proposal and says he wants to meet those who ideas are different.\n\n""But the rest of the world is not waiting for us. Doing nothing is not an option.""', ""RT @kellanhowell: .@Newsy's @AlexMillerNews points out Biden switched to the prompter on his left, facing Republicans in the chamber while…"", 'Dem candidate @TerryMcAuliffe taking the stage tonight ahead of President @JoeBiden. \n\nMcAuliffe talking about banning Toni Morrison’s book, “Beloved.” Their campaign is also handing out the book and a bookmark that says Youngkin will ban books in schools. https://t.co/AmcTBDkoAN', 'President @JoeBiden going after Trump: I can’t believe @GlennYoungkin puts “Trump and integrity in the same sentence.”', ""RT @JoeBiden: We're going to fight the Omicron variant the way we’ve been fighting COVID-19 since the beginning—with scientific and knowled…""], '3': []}}]",none,"['none', 'none']"
838095416663162880,Desert Storm,You Matter 2,['@Leftist412 It reminds of me the Republicans blaming Biden for chic Fil A sauce shortage'],"['894982813853863938', '883159967162707969']",favor,none,"[{'894982813853863938': {'1': [""best thing Harry Reid ever did was tell Obama to keep Joe Biden from negotiating with Republicans, cause he'll give away the store to them. true story."", 'RT @AOC: To secure votes for the Bipar Infra Bill, Biden *himself* came to House Progressives &amp; told us was putting his credibility on the…', 'RT @mynameisjro: Let’s be very clear. A new variant emerged because of Biden’s failure to break vaccine patents. Something he promised vote…', 'Sounds nicer, but it\'s the same thing Biden told organizers and voting rights advocates before: ""you gotta out-vote the voter suppression"". Meanwhile he\'s doing nothing to push back. https://t.co/LViS4CsuuN', 'What\'s the ""political emergency of the pandemic""?\nWhy is it over?\nHow does PMC hinder Biden?\nWhat is it that voters actually want?\nAnd how would Biden deliver it?\n\nIf only Matt could explain any of this, cause that thread doesn\'t. https://t.co/VkQzXzNdwd'], '2': ['Biden admin, Republican governors, Democratic mayors, corporate news, IDW types, Substack Brigade, all getting on the same page with the ""we\'re done with Covid"" message, is one of the greatest examples of manufacturing consent in history. https://t.co/J2q6a9aoLo', ""amazing how neolibs foisted Biden on everybody, then undermined him at every turn, and now when the whole Biden project may put Democrats in irrelevance for a decade, they're first to jump ship, distance themselves from that fiasco, and blame it on the left. https://t.co/kU6ABWnknL""], '3': []}, '883159967162707969': {'1': ['@zia_kat @RMpodol @shaunking @JoeBiden Ok, who is your choice outside the DP then?', '@zia_kat @RMpodol @shaunking @JoeBiden I think he’s been trying his best, at least from his own history and perspective\n\nBut I don’t think he’s going to do it anyway\n\nWho is your choice for a primary challenge, within the DP? Is there anyone who could or would?', '@RMpodol @zia_kat @shaunking @JoeBiden Agreed 100%', '@zia_kat @RMpodol @shaunking @JoeBiden She was the first on my mind also, but yeah. Restrictions. https://t.co/AkKg4EfnIa', '@MindfulWilliam @TYT @DavidShuster I’ll do a contrast then: OccupyDemocrats is constantly promoting Jen Psaki as some kind of supreme overlord of owning Fox News reporters.\n\nI can’t stand her. She’s Blue Huckabee Sanders. Her job is to cover for Biden’s failures\n\nBut if they wanted to promote my race, more power', '@shaunking @JoeBiden I would support Bernie ONLY if he made the explicit commitment that he is not dropping out before the convention for any reason\n\nAnd he’s got to stop calling Joe Biden ‘my friend’', '@Energetic_Nova @DoreenforNY Nope. Not saying that at all. I voted for Biden. But I’m definitely going to be supporting a progressive primary challenge if someone steps up to it', '@zia_kat @ProseyPolymath @scienceoverbias @RMpodol @shaunking @JoeBiden Well, here’s the problem with how the whole government operates. There are no clean bills. There are good things &amp; bad things. Honestly we should have line item votes but hey, we’re corrupt as hell, how do you fix that other than elect better? I don’t agree with all his votes', '@zia_kat @ProseyPolymath @scienceoverbias @RMpodol @shaunking @JoeBiden I think our representatives are terrible about communicating what they’re voting for/against and why. Most bills require making those judgments. I think every bill should be accompanied, in plain speak: here’s what’s in it - so as a Rep, here’s what I’m voting for/against'], '2': ['@Justinredalen @a2e_project @peterdaou They have moved to the right on criminal justice (Biden’s crime bill), on military spending/global imperialism, healthcare policy is garbage, electoral college still in place, they still vote for tax cuts for the wealthy, and they’ve increased corporate corruption/hegemony'], '3': []}}]",against,"['none', 'favor']"
1221832590094753793,Xiyue Wang,"PhD Candidate in History at Princeton, former Pashto interpreter for ICRC in Afghanistan, happy father & husband","['RT @HASCRepublicans: RM @RepMikeRogersAL: ""That a Biden policy decision was made to withhold real-time intelligence, which would better equ…', 'Many thanks to Sen. Menendez’s  opposition to Biden’s engagement with Maduro’s Venezuela. Modest democrats shouldn’t allow the far left to hijack America’s foreign policy. There is nothing progressive about Progressives’ approach to the world, they merely made the world less safe https://t.co/JB4pH2opaJ', 'IRGC was designated for terrorism sanctions in CAATSA of 2017. Senate passed it 98-2, Sanders voted no. House passed it 419-3. By delisting IRGC, Biden’ll go against an act of Congress. Giving it a license is to acquiesce terrorism. Biden’s running Bernie Sanders’s foreign policy https://t.co/T2vgZCfgKS']","['1953117589', '935152012576067585']",against,none,"[{'1953117589': {'1': [""Biden previously called Republicans' voting restrictions an attack on democracy and emphasized that the forces behind the Jan. 6 insurrection could rise up again if voting rights legislation remains blocked.\n\nhttps://t.co/MOOv6rV6et"", 'RT @AP: Black voters in South Carolina helped send Joe Biden to the White House in 2020. Now, a year into his presidency, Biden is hoping h…', 'RT @TheYappie: 🗣 @shawnarchen notes while a majority of AAPI voters backed Biden in the 2020 election, surveys show Trump made gains as wel…'], '2': [""Saule Omarova, Biden's nominee to lead the Office of the Comptroller of the Currency, has dropped out of consideration for the post. Omarova, who is Kazakh American, faced opposition from both Democrats and Republicans and was accused of being a Communist.\nhttps://t.co/kdZlUU9jM8""], '3': []}, '935152012576067585': {'1': ['Making the case for a #COVID19 Commission, @SenatorCollins calls for @JoeBiden\'s support.\n\n""I believe...it\'s essential that Congress be involved in appointing the members &amp; our new president be involved b/c we need to have some ownership in this...to accept the recommendations.”', ""UP NEXT: President-elect @JoeBiden's nominee for U.S. Surgeon General @vivek_murthy joins the #FuturesForum on Preparedness. \n\nWatch live at https://t.co/kdZeJrr1pg. https://t.co/3KBB0jBV6i""], '2': [], '3': []}}]",none,"['none', 'none']"
32562983,Shellie Ridder,"Artist, Wife, Mom & Emah. ❤️🇺🇸 #BlackLivesMatter #VotingRights #BuildBackBetter #EnforceTheSubpoenas",['@yestoyesli @JoeBiden @SpanbergerVA07 You do realize @RepSpanberger has worked tirelessly promoting bipartisanship in bills that help the people in #Virginia and her district. All you are doing is sowing hate and division. Definitely not leadership qualities. #Fail @yestoyesli Bigly #fail'],['961273302164627456'],against,none,"[{'961273302164627456': {'1': ['@YNB @JoeBiden @briebriejoy @SymoneDSanders I don\'t think you can use ""safely"" and ""en masse"" together right now.', ""RT @WaywardWinifred: Jane Fonda is a BERNIE SISTER. \n\nJoe Biden voted for the Iraq War.\n\nI'll need you to pass this on.""], '2': [], '3': []}}]",favor,['none']
1461814120249008137,Unrűly tv,Unruly families🤘🦉,"['@JoeBiden https://t.co/cMm1r1hG1W\nHogtied black bdsm submissiveWhat are going to do when you see me in cam paddled, free sex video']",['46786678'],none,none,"[{'46786678': {'1': [], '2': ['RT @NoLieWithBTC: BREAKING: Biden announces a series of executive actions against Republican governors who are blocking mask mandates. ""We’…'], '3': []}}]",against,['none']
27864689,Vin Nair,Defense Services Specialist | Voice of rock band VIN SINNERS | Motorsport Columnist | Vinyl Collector | Coffee Lover | Son of a Fauji | #JaiHind,"['""Putin may encircle Kiev with tanks, but he\'ll never gain the hearts and souls of the Iranian people."" - 🤦🏻\u200d♂️ #JoeBiden #UkraineWar #UkraineKrieg https://t.co/tfsWjDB91m']",['17670329'],none,none,"[{'17670329': {'1': [""RT @dna: US Congressman asks President @JoeBiden to reject Pakistan's effort to install ‘jihadist’ envoy\n\nReported by: Sidhant Sibal (@sidh…""], '2': [], '3': []}}]",favor,['against']
731634276903624705,George Colclough,“Science is a differential equation. Religion is a boundary condition” — Alan Turing,"['RT @wolfblitzer: President @JoeBiden now says he doesn\'t know how the U.S. could have withdrawn from Afghanistan ""without chaos ensuing."" B…']",['500026501'],none,none,"[{'500026501': {'1': [""RT @TheBabylonBee: Biden's State Department: 'We Support The Cuban People As They Rise Up To Protest Georgia’s Voter ID Laws' https://t.co/…""], '2': [], '3': []}}]",against,['none']
850043038177120256,Sarah New Day 21,tweets are my own,"['RT @JoeBiden: Wear a mask. https://t.co/TSuLuzAXEB', 'RT @JoeBiden: I’m running as a Democrat, but I will be an American president. Whether you voted for me or against me, I will represent you.', 'RT @JoeBiden: It didn’t have to be this bad. https://t.co/R2WqNeauiu', '&lt;3 Another perfect speech. #makeaplantovote #democracyisatstake #votingbidenharris https://t.co/7xlWPXofwB', ""RT @amandalitman: In NY's primary, I didn't vote for Biden. (I believe in voting your ❤️ in primaries, even in long-over races.) But I want…""]",['57694701'],none,none,"[{'57694701': {'1': [], '2': ['WUSA-CBS9 spoke to #GWTbergProf Joseph Cordes about whether President-elect Biden voted to tax Social Security benefits when he was a senator. Check it out here: https://t.co/D7JQnPmALS'], '3': []}}]",favor,['none']
531563448,Katerina5k,"#OrthodoxChristian, #ProLife, registered #Conservative from NY. Extreme views include a love of #family #cats #unalienablerights & #USA.  #TrumpWon","[""@MSNBC #Ukraine was the Clinton Foundation's largest donor country with $10,000 000 when she was SOS. Imagine how generous Ukraine will be to the Democrats &amp; other U.S. pols, if congress approves the $6billion aid that #Biden proposed to send to Zelinsky🤔"", '#Biden \n#BidensAmerica \n#DemocratsDeliver!\n#BLUEWAVE2022 🌊\n#Democrats #NancyPelosi \n#HumanTrafficking \n#CBP #DHS #CNN #MSNBC #NYTimes #TruthSocial \n\nhttps://t.co/OEm7vRlp64', ""Senator Kelly's Gas Prices Relief Act summed up in two emojis: 🐂💩\n\n#DemocratsDeliver!\n#BLUEWAVE2022!\n#Bidenflation \n\nBring back #USA #energyindependence. https://t.co/iugAm2JWGX"", ""@catturd2 I'm almost embarrassed for her. Is this another way for #Biden's handlers to throw #KamalaHarris under the bus? This announcement only invites more scorn and ridicule from Republicans/Conservatives!🤔""]",['22277264'],none,none,"[{'22277264': {'1': [], '2': ['RT @Lancegooden: Everything Democrats said would happen under President Trump is happening under Joe Biden.'], '3': []}}]",favor,['none']
